x1,x2,x3,x4,y
0.32924,-4.4552,4.5718,-0.9888,0
2.0922,-6.81,8.4636,-0.60216,0
3.2032,5.7588,-0.75345,-0.61251,0
1.8993,7.6625,0.15394,-3.1108,0
-1.5768,10.843,2.5462,-2.9362,0
2.6719,3.0646,0.37158,0.58619,0
5.7867,7.8902,-2.6196,-0.48708,0
0.7057,-5.4981,8.3368,-2.8715,0
-0.38214,8.3909,2.1624,-3.7405,0
1.4884,3.6274,3.308,0.48921,0
2.4391,6.4417,-0.80743,-0.69139,0
3.6289,0.81322,1.6277,0.77627,0
3.4805,9.7008,-3.7541,-3.4379,0
0.96441,5.8395,2.3235,0.066365,0
-0.7869,9.5663,-3.7867,-7.5034,0
-0.7869,9.5663,-3.7867,-7.5034,0
3.9102,6.065,-2.4534,-0.68234,0
1.6349,3.286,2.8753,0.087054,0
4.9264,5.496,-2.4774,-0.50648,0
0.49665,5.527,1.7785,-0.47156,0
4.6054,-4.0765,2.7587,0.31981,0
2.4235,9.5332,-3.0789,-2.7746,0
4.1373,0.49248,1.093,1.8276,0
4.7181,10.0153,-3.9486,-3.8582,0
2.8033,9.0862,-3.3668,-1.0224,0
4.4682,2.2907,0.95766,0.83058,0
1.8664,7.7763,-0.23849,-2.9634,0
0.87603,6.8141,0.84198,-0.17156,0
4.0632,3.584,0.72545,0.39481,0
4.3064,8.2068,-2.7824,-1.4336,0
2.1616,-6.8804,8.1517,-0.081048,0
-2.7419,11.4038,2.5394,-5.5793,0
2.3136,10.6651,-3.5288,-4.7672,0
2.9163,10.8306,-3.3437,-4.122,0
3.9922,-4.4676,3.7304,-0.1095,0
1.7819,6.9176,-1.2744,-1.5759,0
2.5331,2.9135,-0.822,-0.12243,0
-2.343,12.9516,3.3285,-5.9426,0
3.7818,-2.8846,2.2558,-0.15734,0
4.6689,1.3098,0.055404,1.909,0
3.4663,1.1112,1.7425,1.3388,0
0.4339,5.5395,2.033,-0.40432,0
5.438,9.4669,-4.9417,-3.9202,0
3.9232,-3.2467,3.4579,0.83705,0
1.9358,8.1654,-0.023425,-2.2586,0
2.4226,-4.5752,5.947,0.21507,0
5.0452,3.8964,-1.4304,0.86291,0
3.5499,8.6165,-3.2794,-1.2009,0
0.17346,7.8695,0.26876,-3.7883,0
1.1166,8.6496,-0.96252,-1.8112,0
1.0235,6.901,-2.0062,-2.7125,0
4.0552,-2.4583,2.2806,1.0323,0
-1.6952,1.0657,8.8294,0.94955,0
-0.69572,8.6165,1.8419,-4.3289,0
2.9421,7.4101,-0.97709,-0.88406,0
0.9297,-3.7971,4.6429,-0.2957,0
1.4578,-0.08485,4.1785,0.59136,0
4.1454,7.257,-1.9153,-0.86078,0
4.0215,-2.1914,2.4648,1.1409,0
-0.78689,9.5663,-3.7867,-7.5034,0
4.1757,10.2615,-3.8552,-4.3056,0
4.8077,2.2327,-0.26334,1.5534,0
2.1059,7.6046,-0.47755,-1.8461,0
4.2899,9.1814,-4.6067,-4.3263,0
3.5156,10.1891,-4.2759,-4.978,0
2.614,8.0081,-3.7258,-1.3069,0
0.68087,2.3259,4.9085,0.54998,0
-1.3,10.2678,-2.953,-5.8638,0
2.4196,6.4665,-0.75688,0.228,0
4.6464,10.5326,-4.5852,-4.206,0
-2.6479,10.1374,-1.331,-5.4707,0
5.4944,1.5478,0.041694,1.9284,0
-1.3389,1.552,7.0806,1.031,0
-2.3361,11.9604,3.0835,-5.4435,0
3.8905,-2.1521,2.6302,1.1047,0
2.3952,9.5083,-3.1783,-3.0086,0
1.6406,3.5488,1.3964,-0.36424,0
2.7744,6.8576,-1.0671,0.075416,0
2.4287,9.3821,-3.2477,-1.4543,0
1.6472,0.48213,4.7449,1.225,0
0.3798,0.7098,0.7572,-0.4444,0
0.5734,9.1938,-0.9094,-1.872,0
2.2034,5.9947,0.53009,0.84998,0
3.1557,2.8908,0.59693,0.79825,0
1.8114,7.6067,-0.9788,-2.4668,0
4.988,7.2052,-3.2846,-1.1608,0
3.8496,9.7939,-4.1508,-4.4582,0
3.8417,10.0215,-4.2699,-4.9159,0
5.3915,9.9946,-3.8081,-3.3642,0
4.4072,-0.070365,2.0416,1.1319,0
1.3638,-4.7759,8.4182,-1.8836,0
-1.3,10.2678,-2.953,-5.8638,0
3.2422,6.2265,0.12224,-1.4466,0
2.5678,3.5136,0.61406,-0.40691,0
-2.2153,11.9625,0.078538,-7.7853,0
4.1349,6.1189,-2.4294,-0.19613,0
1.143,0.83391,5.4552,-0.56984,0
-1.9177,11.6894,2.5454,-3.2763,0
0.27451,9.2186,-3.2863,-4.8448,0
1.5902,2.2948,3.2403,0.18404,0
2.1274,5.1939,-1.7971,-1.1763,0
1.1811,8.3847,-2.0567,-0.90345,0
2.6718,5.6574,0.72974,-1.4892,0
-1.7344,2.0175,7.7618,0.93532,0
4.2164,9.4607,-4.9288,-5.2366,0
4.9923,7.8653,-2.3515,-0.71984,0
-1.1804,11.5093,0.15565,-6.8194,0
4.0329,0.23175,0.89082,1.1823,0
0.66018,10.3878,-1.4029,-3.9151,0
3.5982,7.1307,-1.3035,0.21248,0
-1.8584,7.886,-1.6643,-1.8384,0
4.0972,0.46972,1.6671,0.91593,0
3.1088,3.1122,0.80857,0.4336,0
-4.2859,8.5234,3.1392,-0.91639,0
0.5195,-3.2633,3.0895,-0.9849,0
3.5458,9.3718,-4.0351,-3.9564,0
-0.21661,8.0329,1.8848,-3.8853,0
2.7161,-4.2006,4.1914,0.16981,0
3.5189,6.332,-1.7791,-0.020273,0
3.4985,3.1639,0.22677,-0.1651,0
2.2526,9.9636,-3.1749,-2.9944,0
4.1529,-3.9358,2.8633,-0.017686,0
0.58836,10.7727,-1.3884,-4.3276,0
1.5099,0.039307,6.2332,-0.30346,0
3.8117,10.1457,-4.0463,-4.5629,0
0.54777,10.3754,-1.5435,-4.1633,0
2.3718,7.4908,0.015989,-1.7414,0
3.7982,10.423,-4.1602,-4.9728,0
2.1265,6.8783,0.44784,-2.2224,0
1.3049,-0.15521,6.4911,-0.75346,0
3.0864,-2.5845,2.2309,0.30947,0
0.14783,7.946,1.0742,-3.3409,0
-0.062025,6.1975,1.099,-1.131,0
