x1,x2,x3,x4,y
1.934,-9.28E-06,4.816,-0.33967,0
4.4338,9.887,-4.6795,-3.7483,0
-2.902,-7.6563,11.8318,-0.84268,1
3.4776,8.811,-3.1886,-0.92285,0
3.3397,-4.6145,3.9823,-0.23751,0
3.2585,-4.4614,3.8024,-0.15087,0
2.2546,8.0992,-0.24877,-3.2698,0
1.2198,2.0982,-3.1954,0.12843,1
-2.659,-1.6058,1.3647,0.16464,1
1.6032,-4.7863,8.5193,-2.1203,0
-3.2305,-7.2135,11.6433,-0.94613,1
3.9771,11.1513,-3.9272,-4.3444,0
-1.6637,3.2881,-2.2701,-2.2224,1
-0.40804,0.54214,-0.52725,0.6586,1
-3.0061,-12.2377,11.9552,-2.1603,1
0.12326,8.9848,-0.9351,-2.4332,0
5.1302,8.6703,-2.8913,-1.5086,0
-1.4174,-2.2535,1.518,0.61981,1
0.0096613,3.5612,-4.407,-4.4103,1
-1.749,-6.332,6.0987,0.14266,1
5.7227,5.8312,-2.4097,-0.24527,0
0.24835,7.6439,0.9885,-0.87371,0
-6.9599,8.9931,0.2182,-4.572,1
4.3435,3.3295,0.83598,0.64955,0
-0.2062,9.2207,-3.7044,-6.8103,0
3.6582,5.6864,-1.7157,-0.23751,0
0.22432,-0.52147,-0.40386,1.2017,1
3.5594,1.3078,1.291,1.6556,0
0.6818,4.8504,-5.2133,-6.1043,1
-1.6244,-6.3444,4.6575,0.16981,1
4.0524,5.6802,-1.9693,0.026279,0
-3.2238,2.7935,0.32274,-0.86078,1
3.7791,2.5762,1.3098,0.5655,0
3.7831,10.0526,-3.8869,-3.7366,0
-3.0799,0.60836,2.7039,-0.23751,1
-7.0421,9.2,0.25933,-4.6832,1
-1.2528,10.2036,2.1787,-5.6038,0
-1.2943,2.6735,-0.84085,-2.0323,1
0.1848,6.5079,2.0133,-0.87242,0
-0.62684,-6.301,4.7843,1.106,1
2.108,6.7955,-0.1708,0.4905,0
-1.5222,10.8409,2.7827,-4.0974,0
-4.1479,7.1225,-0.083404,-6.4172,1
-4.244,-13.0634,17.1116,-2.8017,1
-1.2369,-1.6906,2.518,0.51636,1
0.81583,4.84,-5.2613,-6.0823,1
2.6946,6.7976,-0.40301,0.44912,0
3.2414,0.40971,1.4015,1.1952,0
-4.0786,2.9239,0.87026,-0.65389,1
2.1881,2.7356,1.3278,-0.1832,0
-2.6989,12.1984,0.67661,-8.5482,0
4.7285,2.1065,-0.28305,1.5625,0
-6.5084,8.7696,0.23191,-3.937,1
-3.7244,1.9037,-0.035421,-2.5095,1
-1.1497,1.2954,7.701,0.62627,0
2.7365,-5.0325,6.6608,-0.57889,0
1.9429,6.3961,0.092248,0.58102,0
1.3264,1.0326,5.6566,-0.41337,0
-3.6085,3.3253,-0.51954,-3.5737,1
3.6216,8.6661,-2.8073,-0.44699,0
-1.3931,1.5664,7.5382,0.78403,0
-0.64326,2.4748,-2.9452,-1.0276,1
1.2706,8.035,-0.19651,-2.1888,0
0.24261,0.57318,-1.9402,0.44007,1
5.7456,10.1808,-4.7857,-4.3366,0
-4.7462,3.1205,1.075,-1.2966,1
4.7072,8.2957,-2.5605,-1.4905,0
2.5068,1.1588,3.9249,0.12585,0
4.0405,0.51524,1.0279,1.106,0
-1.5681,-7.2446,6.5537,-0.1276,1
-1.0112,2.9984,-1.1664,-1.6185,1
4.8851,1.5995,-0.00029081,1.6401,0
3.7352,9.5911,-3.9032,-3.3487,0
-1.0941,2.3072,-2.5237,-1.4453,1
3.4359,0.66216,2.1041,1.8922,0
0.31803,-0.99326,1.0947,0.88619,1
4.3937,0.35798,2.0416,1.2004,0
4.2475,1.4816,-0.48355,0.95343,0
-2.1652,3.0211,-2.4132,-2.4241,1
5.2012,0.32694,0.17965,1.1797,0
0.33325,3.3108,-4.5081,-4.012,1
3.966,3.9213,0.70574,0.33662,0
-2.7143,11.4535,2.1092,-3.9629,0
-4.3876,-7.7267,11.9655,-1.4543,1
-3.6817,3.2239,-0.69347,-3.4004,1
5.2868,3.257,-1.3721,1.1668,0
-3.5741,3.944,-0.07912,-2.1203,1
5.8862,5.8747,-2.8167,-0.30087,0
-0.24745,1.9368,-2.4697,-0.80518,1
3.482,-4.1634,3.5008,-0.078462,0
4.1927,-3.2674,2.5839,0.21766,0
-1.0116,-0.19038,-0.90597,0.003003,1
-2.4604,12.7302,0.91738,-7.6418,0
0.045304,6.7334,1.0708,-0.9332,0
3.5152,6.8224,-0.67377,-0.46898,0
-2.4473,12.6247,0.73573,-7.6612,0
4.0715,7.6398,-2.0824,-1.1698,0
-2.1979,-2.1252,1.7151,0.45171,1
2.093,8.3061,0.022844,-3.2724,0
1.3234,3.2964,0.2362,-0.11984,0
3.82,10.9279,-4.0112,-5.0284,0
3.4465,2.9508,1.0271,0.5461,0
3.9294,1.4112,1.8076,0.89782,0
-2.7083,-6.8266,7.5339,0.59007,1
-2.0962,-7.1059,6.6188,-0.33708,1
-3.5801,-12.9309,13.1779,-2.5677,1
3.8584,0.78425,1.1033,1.7008,0
-4.2249,6.2699,0.15822,-5.5457,1
3.7635,2.7811,0.66119,0.34179,0
-1.3414,-1.9162,-0.15538,-0.11984,1
0.30081,0.17381,-1.7542,0.48921,1
-0.7351,1.7361,-1.4938,-1.1582,1
-2.4953,11.1472,1.9353,-3.4638,0
1.742,-4.809,8.2142,-2.0659,0
5.262,3.9834,-1.5572,1.0103,0
0.7376,4.8525,-4.7986,-5.6659,1
-0.29858,2.4769,-2.9512,-0.66165,1
-0.278,8.1881,-3.1338,-2.5276,0
2.6682,10.216,-3.4414,-4.0069,0
2.6648,10.754,-3.3994,-4.1685,0
1.04,-6.9321,8.2888,-1.2991,0
-0.74324,-0.32902,-0.42785,0.23317,1
4.068,-2.9363,2.1992,0.50084,0
4.1425,-3.6792,3.8281,1.6297,0
3.9364,10.5885,-3.725,-4.3133,0
-4.4861,-13.2889,17.3087,-3.2194,1
0.6005,1.9327,-3.2888,-0.32415,1
-1.803,11.8818,2.0458,-5.2728,0
2.2504,3.5757,0.35273,0.2836,0
-2.1405,-0.16762,1.321,-0.20906,1
-0.47465,-4.3496,1.9901,0.7517,1
3.1377,-4.1096,4.5701,0.98963,0
-2.3147,3.6668,-0.6969,-1.2474,1
1.5701,7.9129,0.29018,-2.1953,0
-0.24037,-1.7837,2.135,1.2418,1
2.8672,10.0008,-3.2049,-3.1095,0
3.534,9.3614,-3.6316,-1.2461,0
-0.16735,7.6274,1.2061,-3.6241,0
-3.7503,-13.4586,17.5932,-2.7771,1
4.9249,0.68906,0.77344,1.2095,0
3.6077,6.8576,-1.1622,0.28231,0
-2.0042,-9.3676,9.3333,-0.10303,1
1.2616,4.4303,-1.3335,-1.7517,0
2.031,1.852,-3.0121,0.003003,1
4.0422,-4.391,4.7466,1.137,0
-6.3364,9.2848,0.014275,-6.7844,1
0.52855,0.96427,4.0243,-1.0483,0
3.6941,-3.9482,4.2625,1.1577,0
0.2952,4.8856,-5.149,-6.2323,1
4.9294,0.27727,0.20792,0.33662,0
-6.3679,8.0102,0.4247,-3.2207,1
-1.8046,-6.8141,6.7019,1.1681,1
1.208,4.0744,-4.7635,-2.6129,1
-5.1216,-5.3118,10.3846,-1.0612,1
4.616,10.1788,-4.2185,-4.4245,0
1.0191,2.33,4.9334,0.82929,0
-5.2406,6.6258,-0.19908,-6.8607,1
-1.3887,-4.8773,6.4774,0.34179,1
5.681,7.795,-2.6848,-0.92544,0
-3.8952,3.8157,-0.31304,-3.8194,1
-0.89809,-4.4862,2.2009,0.50731,1
-2.2617,-4.7428,6.3489,0.11162,1
2.483,6.6155,-0.79287,-0.90863,0
4.1962,0.74493,0.83256,0.753,0
-2.0891,-0.48422,1.704,1.7435,1
0.83625,1.1071,-2.4706,-0.062945,1
-1.1391,1.8127,6.9144,0.70127,0
2.9543,1.076,0.64577,0.89394,0
-3.0265,-0.062088,0.68604,-0.055186,1
-0.77995,3.2322,-3.282,-3.1004,1
2.805,0.57732,1.3424,1.2133,0
2.888,0.44696,4.5907,-0.24398,0
-1.8343,-6.5907,5.6429,0.54998,1
4.5691,-4.4552,3.1769,0.0042961,0
0.39012,-0.14279,-0.031994,0.35084,1
-2.3675,-0.43663,1.692,-0.43018,1
-3.8073,-8.0971,10.1772,0.65084,1
-1.7015,-0.010356,-0.99337,-0.53104,1
-0.81479,-5.7381,4.3919,0.3211,1
3.2718,1.7837,2.1161,0.61334,0
-3.5895,-6.572,10.5251,-0.16381,1
-3.7181,-8.5089,12.363,-0.95518,1
-0.71494,-4.4448,2.2241,0.49826,1
-6.5235,9.6014,-0.25392,-6.9642,1
-1.2576,1.5892,7.0078,0.42455,0
1.0009,7.7846,-0.28219,-2.6608,0
2.4486,-6.3175,7.9632,0.20602,0
0.96414,5.616,2.2138,-0.12501,0
1.5478,9.1814,-1.6326,-1.7375,0
5.7353,5.2808,-2.2598,0.075416,0
5.1129,-0.49871,0.62863,1.1189,0
-0.13144,-1.7775,8.3316,0.35214,0
-0.048008,-1.6037,8.4756,0.75558,0
