Sales,CompPrice,Income,Advertising,Population,Price,Age,Education,Urban,US
5.04,123,114,0,298,151,34,16,Yes,No
11.48,121,120,13,140,87,56,11,Yes,Yes
3.02,98,21,11,326,90,76,11,No,Yes
9.45,107,67,12,430,92,35,12,No,Yes
6.18,120,70,15,464,110,72,15,Yes,Yes
7.67,129,117,8,400,101,36,10,Yes,Yes
15.63,122,36,5,369,72,35,10,Yes,Yes
8.25,136,58,16,241,131,44,18,Yes,Yes
6.5,108,69,3,208,94,77,16,Yes,No
10.06,113,35,10,269,80,59,12,Yes,Yes
5.32,152,116,0,170,160,39,16,Yes,No
9.71,134,37,0,27,120,49,16,Yes,Yes
7.96,157,53,0,403,124,58,16,Yes,No
10.59,131,120,15,262,124,30,10,Yes,Yes
6.67,107,119,11,210,132,53,11,Yes,Yes
8.65,123,76,18,218,120,29,14,No,Yes
9.48,147,42,10,407,132,73,16,No,Yes
11.82,113,66,16,322,74,76,15,Yes,Yes
3.47,107,79,2,488,103,65,16,Yes,No
7.68,126,41,22,403,119,42,12,Yes,Yes
4.53,114,113,0,97,125,29,12,Yes,No
4.36,125,41,2,357,123,47,14,No,Yes
4.42,121,90,0,150,108,75,16,Yes,No
2.23,111,25,0,52,121,43,18,No,No
8.75,143,77,25,448,156,43,17,Yes,Yes
7.49,146,34,0,220,157,51,16,Yes,No
7.8,119,33,0,245,122,56,14,Yes,No
6.2,107,32,12,236,137,64,10,No,Yes
5.98,124,56,11,447,134,53,12,No,Yes
5.21,118,71,4,148,114,80,13,Yes,No
9.1,128,93,12,343,112,73,17,No,Yes
9.32,134,27,18,467,96,49,14,No,Yes
5.58,134,25,10,237,148,59,13,Yes,Yes
7.36,121,24,0,200,133,73,13,Yes,No
9.7,138,61,12,156,120,25,14,Yes,Yes
5.35,130,58,19,366,139,33,16,Yes,Yes
10.31,159,80,0,362,121,26,18,Yes,No
3.13,130,62,11,396,130,66,14,Yes,Yes
6.41,125,90,2,367,131,35,18,Yes,Yes
2.52,124,61,0,333,138,76,16,Yes,No
8.47,119,88,10,170,101,61,13,Yes,Yes
0,139,24,0,358,185,79,15,No,No
9.16,137,105,10,435,156,72,14,Yes,Yes
9.53,175,65,29,419,166,53,12,Yes,Yes
0.91,93,91,0,22,117,75,11,Yes,No
8.54,139,35,0,95,129,42,13,Yes,No
2.67,115,54,0,406,128,42,17,Yes,Yes
5.28,108,77,13,388,110,74,14,Yes,Yes
7.02,130,100,0,306,146,42,11,Yes,No
7.41,162,26,12,368,159,40,18,Yes,Yes
8.77,118,86,7,265,114,52,15,No,Yes
9.58,108,104,23,353,129,37,17,Yes,Yes
4.9,122,26,0,197,128,55,13,No,No
7.78,86,54,0,497,64,33,12,Yes,No
12.11,118,117,18,509,104,26,15,No,Yes
6.01,131,29,11,335,127,33,12,Yes,Yes
11.27,153,68,2,60,133,59,16,Yes,Yes
4.69,132,113,0,131,124,76,17,No,Yes
3.89,123,105,0,149,118,62,16,Yes,Yes
6.37,120,77,15,86,132,48,18,Yes,Yes
5.36,135,110,0,112,117,80,16,No,No
6.54,132,110,0,108,124,76,10,No,No
7.77,116,26,6,434,115,25,17,Yes,Yes
8.78,130,30,0,391,100,26,18,Yes,No
4.12,123,42,11,16,134,59,13,Yes,Yes
7.23,112,98,18,481,128,45,11,Yes,Yes
5.33,115,22,0,491,103,64,11,No,No
7.52,116,72,0,237,128,70,13,Yes,No
7.44,124,84,0,300,104,77,15,Yes,No
4.1,121,78,4,413,130,46,10,No,Yes
8.07,116,37,0,426,90,76,15,Yes,No
12.04,145,69,19,501,105,45,11,Yes,Yes
5.17,131,75,0,10,120,31,18,No,No
10.44,124,115,16,458,105,62,16,No,Yes
3.07,118,83,13,276,104,75,10,Yes,Yes
6.87,128,105,11,249,131,63,13,Yes,Yes
11.91,133,82,0,54,84,50,17,Yes,No
6.81,132,61,0,263,125,41,12,No,No
5.87,131,73,13,455,132,62,17,Yes,Yes
7.81,104,99,15,226,102,58,17,Yes,Yes
6.41,142,30,0,472,136,80,15,No,No
7.72,133,33,10,333,129,71,14,Yes,Yes
11.18,131,111,13,33,80,68,18,Yes,Yes
9.01,121,78,9,150,100,26,10,No,Yes
3.9,124,65,21,496,151,77,13,Yes,Yes
8.8,145,53,0,507,119,41,12,Yes,No
11.48,104,41,15,492,77,73,18,Yes,Yes
12.13,134,29,12,239,109,62,18,No,Yes
10.14,145,119,16,294,113,42,12,Yes,Yes
6.59,109,73,0,454,102,65,15,Yes,No
10.43,77,69,0,25,24,50,18,Yes,No
4.9,134,103,13,25,144,76,17,No,Yes
7.32,105,32,0,358,107,26,13,No,No
7.8,100,67,12,184,104,32,16,No,Yes
9.46,89,81,15,237,99,74,12,Yes,Yes
8.01,113,100,16,353,79,68,11,Yes,Yes
6.62,132,118,12,272,151,43,14,Yes,Yes
9.31,122,87,9,17,106,65,13,Yes,Yes
5.08,135,75,0,202,128,80,10,No,No
7.37,130,94,8,137,128,64,12,Yes,Yes
9.54,125,87,9,232,136,72,10,Yes,Yes
10.27,125,103,12,371,109,44,10,Yes,Yes
0.53,122,88,7,36,159,28,17,Yes,Yes
7.71,98,72,0,59,69,65,16,Yes,No
6.38,135,91,5,207,128,66,18,Yes,Yes
4.74,137,60,4,230,140,25,13,Yes,No
4.1,130,28,6,410,133,72,16,Yes,Yes
8.23,149,84,5,220,139,33,10,Yes,Yes
5.73,141,33,0,243,144,34,17,Yes,No
11.99,119,26,0,284,89,26,10,Yes,No
11.19,122,69,7,303,105,45,16,No,Yes
10.08,116,72,10,456,130,41,14,No,Yes
5.86,136,70,12,171,152,44,18,Yes,Yes
6.23,112,38,17,316,104,80,16,Yes,Yes
5.87,136,60,7,303,147,41,10,Yes,Yes
7.63,93,117,9,489,83,42,13,Yes,Yes
8.61,130,38,0,283,102,80,15,Yes,No
11.54,134,44,4,219,126,44,15,Yes,Yes
6.88,96,39,0,161,112,27,14,No,No
5.47,108,75,9,61,111,67,12,Yes,Yes
